subscription_id,type,Recency,last_access_date,lst_date,subscription_date,freq,qt_page_view,qt_page_view_week,qt_page_view_weekend,qt_page_view_mornig,qt_page_view_afternoon,qt_page_view_nigth,qt_art_read,qt_source_sm_cpc_facebook,qt_source_sm_cpc_others,qt_source_sm_facebook,qt_source_sm_other,qt_source_nedeal,qt_source_email,qt_source_others,qt_gazeta_capa,qt_gazeta_esportes,qt_gazeta_politica,qt_gazeta_economia,Vol_agro,Vol_haus,Vol_bgourmet,Vol_viverbem,Vol_guia,qt_gazeta_curitiba,qt_access_others,qt_comments,qt_explicar,qt_alegre,qt_provocar,qt_triste,qt_inspirar,qt_moderno,qt_facilitar,qt_surpreendente,qt_informar,qt_hardnews,qt_softnews,qt_appGazeta,qt_appGuia,qt_mobile,qt_other_devices,qt_login,browser,has_club,has_print
1126843,T,28.0,2018-06-18,"2018-05-21,2018-05-21,2018-05-22,2018-05-23,2018-05-24,2018-05-25,2018-05-26,2018-05-27,2018-05-28,2018-05-29,2018-05-30,2018-05-31,2018-06-01,2018-06-04,2018-06-05,2018-06-06,2018-06-07,2018-06-18,2018-06-20",2015-08-21,17,135,129,6,33,47,55,37,0,0,1,0,0,0,134,61,31,7,0,0,0,0,0,1,3,32,1,17,10,2,1,11,3,11,7,18,10,6,78,0,0,57,1,Chrome 67.0.3396.87,1,0
1168722,T,,,,1999-11-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1
1178747,T,,,,2000-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1
1178845,T,,,,2000-05-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1
1191832,T,,,,2010-10-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1
1197680,T,,,,2001-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1
1198335,T,,,,2007-10-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1
1211469,T,,,,2006-10-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0
1223758,T,,,,2016-12-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0
1226710,T,,,,2003-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1
